dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-162.4495389048502,-173.2397865064995,22.22864823260268,-186.10234888852568,-126.61325618912402,1.0,0.0,"[-186.1023, -126.6133]"
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.1611773866285548,0.16015821841945,0.0096215298816449,0.1463972547461172,0.1812046540238193,0.0,1.0,"[0.1464, 0.1812]"
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0495821708607121,-0.050034265489635,0.0053535158110872,-0.058867118490628,-0.0404305935667944,1.0,0.0,"[-0.0589, -0.0404]"
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.1831617067844531,0.1820739680545947,0.0122675082190716,0.1644422353801711,0.2073503525971431,0.0,1.0,"[0.1644, 0.2074]"
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.0625231289701301,-0.0626338050000342,0.0067923797324626,-0.0734478342084812,-0.0504689660752347,1.0,0.0,"[-0.0734, -0.0505]"
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-115.49372103524912,-121.8255181149998,18.1381865613024,-134.26700930049984,-90.3633104888495,1.0,0.0,"[-134.2670, -90.3633]"
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-114.83238491554968,-121.14334141549988,18.110064703012547,-133.62192412819795,-89.83120948195156,1.0,0.0,"[-133.6219, -89.8312]"
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0940345079350472,0.0926880764042422,0.0215988599788118,0.0683897788238235,0.1410039528847049,0.0,1.0,"[0.0684, 0.1410]"
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0817609865000521,-0.0744483489493831,0.0342010265966149,-0.162211077948447,-0.0478452436729817,1.0,0.0,"[-0.1622, -0.0478]"
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.1019844264841328,0.0982551906892722,0.0217439999574645,0.0717719466662328,0.1456747600142251,0.0,1.0,"[0.0718, 0.1457]"
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.1036702761745519,-0.0945078857308317,0.0440529615830798,-0.200713894111197,-0.0583574623093421,1.0,0.0,"[-0.2007, -0.0584]"
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-206.56251080750025,-230.5953782925008,34.57161782892582,-238.71579882439968,-152.30602537054975,1.0,0.0,"[-238.7158, -152.3060]"
